TraceId	TraceStart	TraceEnd	TraceDuration	ClientId	UserId	DialogEventType	InputString	ResponseText	ErrorMessage	ErrorLogCount	TriggeredDomain	TriggeredIntent	LUConfidence	InputType	ClientType	ClientVersion	FormFactor	Latencies	LogCount	QueryFlags	Sizes
1898662dd56540f5b258f205d817acc2	2018-11-08T00:58:51Z	2018-11-08T00:58:52Z	1.189863	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	Query	Go to hell	I am not programmed to do that.		0	common	side_speech	0.9742593	Typed	WP_8.1	18.0-2864	Portable	{"DialogCore":293.0,"DialogTriggers":0.0,"E2EDialog":336.0,"E2EClient":408.0,"ClientGenerateRequestToken":48.0,"LUCall":4.0,"SessionFetch":1.0,"UserProfileRetrieve":0.0,"AverageCacheRead":35.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":168.0}	68	None	{"ClientRequest":556,"ClientResponse":1859,"DialogInputPayload":525,"LURequest":338,"LUResponse":225,"DialogOutputPayload":1859}
1e5d975820434c909541208d3a768c6b	2018-11-08T04:04:58Z	2018-11-08T04:04:58Z	0.0668878	8a9b0001000270ab030034fd04004204	8a9b0001000270ab030034fd04004204	DirectAction		Hello, I am Durandal. What can I help you with?		0	reflection	greet	1	Programmatic	WP_8.1	18.0-2864	Portable	{"DialogCore":65.0,"DialogTriggers":32.0,"E2EDialog":65.0,"UserProfileRetrieve":1.0,"AverageCacheRead":38.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":17.0}	9	None	{"DialogInputPayload":287,"DialogOutputPayload":3847}
1e9fcdce18b948319e4fbf9814ecf9b1	2018-11-08T00:55:16Z	2018-11-08T00:55:16Z	0			Unknown				0			0	Unknown			Unknown	{}	1	None	{}
1ea0f922def14fdb8b6d663cbaf80cd7	2018-11-08T00:20:05Z	2018-11-08T00:20:05Z	0			Unknown				0			0	Unknown			Unknown	{"ClientGenerateRequestToken":186.0,"AverageCacheRead":0.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	1	None	{}
1f227cd739a04493ab761564e9f2d268	2018-10-11T05:45:02Z	2018-11-08T14:31:04Z	2450762			Unknown			Non-success response while refreshing SR token	747			0	Unknown			Unknown	{}	945	None	{}
2337ed96c2bb4473ad81d794784000a1	2018-11-08T00:59:00Z	2018-11-08T00:59:01Z	0.9272077	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	Query	Do you like me	I will get back to you once I have my empathy chip installed.		0	side_speech	side_speech_highconf	0.9422355	Typed	WP_8.1	18.0-2864	Portable	{"DialogCore":69.0,"DialogTriggers":0.0,"E2EDialog":91.0,"E2EClient":152.0,"ClientGenerateRequestToken":41.0,"LUCall":4.0,"SessionFetch":1.0,"UserProfileRetrieve":0.0,"AverageCacheRead":36.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":7.0}	66	None	{"ClientRequest":560,"ClientResponse":1949,"DialogInputPayload":529,"LURequest":342,"LUResponse":248,"DialogOutputPayload":1949}
235ad72d967b40edb320eb33e7341c05	2018-11-08T00:54:42Z	2018-11-08T00:54:43Z	0.935768	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	Query	This is a test	Oh no. A pop quiz.		0	side_speech	side_speech_highconf	0.9688869	Typed	WP_8.1	18.0-2864	Portable	{"DialogCore":78.0,"DialogTriggers":0.0,"E2EDialog":104.0,"E2EClient":171.0,"ClientGenerateRequestToken":32.0,"LUCall":5.0,"SessionFetch":1.0,"UserProfileRetrieve":0.0,"AverageCacheRead":37.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":4.0}	66	None	{"ClientRequest":559,"ClientResponse":1863,"DialogInputPayload":528,"LURequest":342,"LUResponse":248,"DialogOutputPayload":1863}
26d72f57a8974f1d83746a80da037fbf	2018-11-07T23:50:34Z	2018-11-07T23:50:34Z	0.1080995	44ea00010002d27b030064b404005ef2	44ea00010002d27b030064b404005ef2	DirectAction		Hello, I am Durandal. What can I help you with?		0	reflection	greet	1	Programmatic	WP_8.1	18.0-2864	Portable	{"DialogCore":108.0,"DialogTriggers":1.0,"E2EDialog":108.0,"UserProfileRetrieve":1.0,"AverageCacheRead":65.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":23.0}	9	None	{"DialogInputPayload":282,"DialogOutputPayload":3848}
2a28ddbe8b4d4d838a5db89d2959ac5e	2018-11-07T23:52:00Z	2018-11-07T23:52:00Z	0.1381169	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	DirectAction		Hello, I am Durandal. What can I help you with?		0	reflection	greet	1	Programmatic	WP_8.1	18.0-2864	Portable	{"DialogCore":123.0,"DialogTriggers":86.0,"E2EDialog":137.0,"UserProfileRetrieve":1.0,"AverageCacheRead":80.5,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":22.0}	10	None	{"DialogInputPayload":444,"DialogOutputPayload":3890}
2c5fbb48bff34b1fa39eeb350b45eb2b	2018-11-07T23:55:02Z	2018-11-07T23:55:22Z	19.53093	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	Query			Error while connecting to SR service: Connection timed out	5			0	Spoken	WP_8.1	18.0-2864	Portable	{"DialogCore":1.0,"DialogTriggers":0.0,"E2EDialog":2706.0,"E2EClient":2750.0,"ClientGenerateRequestToken":19.0,"SessionFetch":1.0,"ClientStartAudioReadThread":2.0,"ClientStartSpeechReco":0.0,"AverageCacheRead":37.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	20	None	{"DialogInputPayload":867,"ClientRequest":898,"ClientResponse":87,"DialogOutputPayload":87}
306a82a1f3484fad8c8c38c47f6cd727	2018-11-07T23:53:27Z	2018-11-07T23:53:34Z	6.72297			Unknown			Websocket read error	7			0	Unknown			Unknown	{"ClientStartAudioReadThread":0.0,"ClientStartSpeechReco":0.0,"AverageCacheRead":0.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	9	None	{}
34bbbde7335544b6b2c536a00f941334	2018-11-08T03:56:10Z	2018-11-08T03:56:12Z	2.069456			Unknown			NullReference exception in SerializeBond method: This usually means that required fields in your schema are null	2			0	Unknown			Unknown	{"ClientGenerateRequestToken":0.0,"ClientStartAudioReadThread":4.0,"ClientStartSpeechReco":0.0,"AverageCacheRead":0.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	5	None	{}
399db9fad8dc4fe1aab8294818702b91	2018-11-07T23:53:24Z	2018-11-07T23:53:24Z	0.0367621	5852000100022267030055880400ddd2	msa:383712dc9a59c397	DirectAction		Hello, I am Durandal. What can I help you with?		0	reflection	greet	1	Programmatic	WP_8.1	16.0-2789	Portable	{"DialogCore":31.0,"DialogTriggers":1.0,"E2EDialog":36.0,"UserProfileRetrieve":1.0,"AverageCacheRead":46.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":14.0}	10	None	{"DialogInputPayload":1099,"DialogOutputPayload":4897}
39ab8884ca604438b13ed8f2fc7e9010	2018-11-08T03:56:08Z	2018-11-08T03:56:08Z	0.2451067			Unknown				0			0	Unknown			Unknown	{"E2EClient":138.0,"ClientGenerateRequestToken":0.0,"AverageCacheRead":0.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	6	None	{}
3b49b89a817541cd8ab099b7bb021f3b	2018-11-08T00:54:32Z	2018-11-08T00:54:32Z	0.2715478			Unknown				0			0	Unknown			Unknown	{"E2EClient":242.0,"ClientGenerateRequestToken":27.0,"AverageCacheRead":0.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	2	None	{}
3f1a5b5a2c304ab59784ca3e109fc3a7	2018-11-08T00:57:01Z	2018-11-08T00:57:01Z	0.0652567	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	DirectAction		Hello, I am Durandal. What can I help you with?		0	reflection	greet	1	Programmatic	WP_8.1	18.0-2864	Portable	{"DialogCore":58.0,"DialogTriggers":25.0,"E2EDialog":66.0,"UserProfileRetrieve":1.0,"AverageCacheRead":33.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":17.0}	10	None	{"DialogInputPayload":444,"DialogOutputPayload":3879}
41a2c1d1fb8643ae8c44a16cd3e1f298	2018-11-07T23:55:26Z	2018-11-08T00:57:16Z	3710.258	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	Query			Error while connecting to SR service: Connection timed out	6			0	Spoken	WP_8.1	18.0-2864	Portable	{"DialogCore":2.0,"DialogTriggers":0.0,"E2EDialog":2660.0,"ClientGenerateRequestToken":31.0,"SessionFetch":1.0,"ClientStartAudioReadThread":3.0,"ClientStartSpeechReco":1.0,"AverageCacheRead":306.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	29	None	{"DialogInputPayload":867,"DialogOutputPayload":87}
441ffcca75be4a3dace21ca9eac302ae	2018-11-08T00:57:29Z	2018-11-08T00:57:33Z	3.699589			Unknown				0			0	Unknown			Unknown	{"E2EClient":151.0,"ClientGenerateRequestToken":23.0,"AverageCacheRead":0.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	7	None	{}
4428b4a3963a41b19cd86f890cb8ffb2	2018-11-08T00:54:25Z	2018-11-08T00:54:26Z	0.9332371	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	Query	This is a test	Apparently, it works.		0	side_speech	side_speech_highconf	0.9688869	Typed	WP_8.1	18.0-2864	Portable	{"DialogCore":68.0,"DialogTriggers":0.0,"E2EDialog":113.0,"E2EClient":173.0,"ClientGenerateRequestToken":27.0,"LUCall":6.0,"SessionFetch":1.0,"UserProfileRetrieve":0.0,"AverageCacheRead":35.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":1.0}	66	None	{"ClientRequest":560,"ClientResponse":1869,"DialogInputPayload":529,"LURequest":342,"LUResponse":248,"DialogOutputPayload":1869}
45e0acca39ed4f18bf132fcd17e6ce3a	2018-11-07T23:53:44Z	2018-11-07T23:55:26Z	101.9065			Unknown				0			0	Unknown			Unknown	{"E2EClient":214.0,"ClientGenerateRequestToken":24.0,"AverageCacheRead":0.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	6	None	{}
45e76935c1a44fd4b7879fe1d8d98d37	2018-11-07T23:53:11Z	2018-11-07T23:53:26Z	14.13043	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	Query			Websocket read error	8			0	Spoken	WP_8.1	18.0-2864	Portable	{"DialogCore":1.0,"DialogTriggers":0.0,"E2EDialog":2489.0,"E2EClient":3265.0,"ClientGenerateRequestToken":16.0,"SessionFetch":1.0,"ClientStartAudioReadThread":6.0,"ClientStartSpeechReco":0.0,"AverageCacheRead":33.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	25	None	{"DialogInputPayload":869,"DialogOutputPayload":87,"ClientRequest":900,"ClientResponse":87}
48659770c3354bbdaf208768701af528	2018-11-07T23:49:09Z	2018-11-07T23:54:05Z	296.5377	5852000100022267030055880400ddd2	msa:383712dc9a59c397	Query			Websocket read error	8			0	Spoken	WP_8.1	16.0-2789	Portable	{"DialogCore":1.0,"DialogTriggers":0.0,"E2EDialog":2310.0,"E2EClient":2363.0,"ClientGenerateRequestToken":88.0,"SessionFetch":1.0,"ClientStartAudioReadThread":4.0,"ClientStartSpeechReco":0.0,"AverageCacheRead":45.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	25	None	{"ClientRequest":1497,"ClientResponse":495,"DialogInputPayload":1466,"DialogOutputPayload":495}
48d704519d024ee1b05f53da557b43f0	2018-11-08T00:54:15Z	2018-11-08T00:54:15Z	0.0494745	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	DirectAction		Hello, I am Durandal. What can I help you with?		0	reflection	greet	1	Programmatic	WP_8.1	18.0-2864	Portable	{"DialogCore":36.0,"DialogTriggers":1.0,"E2EDialog":49.0,"UserProfileRetrieve":0.0,"AverageCacheRead":35.5,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":22.0}	10	None	{"DialogInputPayload":444,"DialogOutputPayload":3999}
4a8bd08b2d244847a5dbbb6928ad9189	2018-11-07T23:49:22Z	2018-11-07T23:49:23Z	0.7070707	44ea00010002d27b030064b404005ef2	44ea00010002d27b030064b404005ef2	Query	What time is it	It is now 3:49 PM.		0	time	query_time	0.99915	Typed	WP_8.1	18.0-2864	Portable	{"DialogCore":142.0,"DialogTriggers":1.0,"E2EDialog":220.0,"E2EClient":293.0,"ClientGenerateRequestToken":0.0,"LUCall":33.0,"SessionFetch":4.0,"UserProfileRetrieve":1.0,"AverageCacheRead":42.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":74.0}	61	None	{"ClientRequest":399,"ClientResponse":3893,"DialogInputPayload":368,"SessionFetch":303,"LURequest":355,"LUResponse":326,"DialogOutputPayload":3893}
4fb8d525db3943d2977bb320fbfdff64	2018-11-08T00:54:57Z	2018-11-08T00:54:57Z	0.168592			Unknown				0			0	Unknown			Unknown	{"E2EClient":140.0,"ClientGenerateRequestToken":27.0,"AverageCacheRead":0.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	2	None	{}
52f95480c5354b65abc69358ac2fa029	2018-11-08T04:03:34Z	2018-11-08T04:03:34Z	0.0941451	8a9b0001000270ab030034fd04004204	msa:383712dc9a59c397	DirectAction		Hello, I am Durandal. What can I help you with?		0	reflection	greet	1	Programmatic	WP_8.1	18.0-2864	Portable	{"DialogCore":25.0,"DialogTriggers":0.0,"E2EDialog":94.0,"UserProfileRetrieve":0.0,"AverageCacheRead":44.5,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":13.0}	10	None	{"DialogInputPayload":577,"DialogOutputPayload":3957}
54964c3292e34046a3bfbb5505940a7d	2018-11-08T00:59:10Z	2018-11-08T00:59:10Z	0.2164206			Unknown				0			0	Unknown			Unknown	{"E2EClient":166.0,"ClientGenerateRequestToken":32.0,"AverageCacheRead":0.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	2	None	{}
592b099ad4b5471b8a4c8f2b396df702	2018-11-07T23:54:53Z	2018-11-07T23:54:53Z	0.1948577			Unknown				0			0	Unknown			Unknown	{"E2EClient":173.0,"ClientGenerateRequestToken":20.0,"AverageCacheRead":0.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	2	None	{}
5a4417dde20d49e184bcc6596590365c	2018-11-08T00:56:27Z	2018-11-08T00:56:27Z	0.0672393	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	DirectAction		Hello, I am Durandal. What can I help you with?		0	reflection	greet	1	Programmatic	WP_8.1	18.0-2864	Portable	{"DialogCore":57.0,"DialogTriggers":24.0,"E2EDialog":68.0,"UserProfileRetrieve":1.0,"AverageCacheRead":45.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":19.0}	10	None	{"DialogInputPayload":444,"DialogOutputPayload":3962}
5c2dd60a59724edebc6d48f233534a53	2018-11-08T04:04:17Z	2018-11-08T04:04:17Z	0.0698516	8a9b0001000270ab030034fd04004204	8a9b0001000270ab030034fd04004204	DirectAction		Hello, I am Durandal. What can I help you with?		0	reflection	greet	1	Programmatic	WP_8.1	18.0-2864	Portable	{"DialogCore":70.0,"DialogTriggers":41.0,"E2EDialog":70.0,"UserProfileRetrieve":1.0,"AverageCacheRead":49.5,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":15.0}	9	None	{"DialogInputPayload":287,"DialogOutputPayload":3827}
5d50e5c61a364584b6500a3c564e0463	2018-11-07T23:55:00Z	2018-11-07T23:55:00Z	0.0510047	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	DirectAction		Hello, I am Durandal. What can I help you with?		0	reflection	greet	1	Programmatic	WP_8.1	18.0-2864	Portable	{"DialogCore":32.0,"DialogTriggers":1.0,"E2EDialog":50.0,"UserProfileRetrieve":1.0,"AverageCacheRead":58.5,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":18.0}	10	None	{"DialogInputPayload":444,"DialogOutputPayload":3966}
5d6fa220b32a4eea866ff2bf03ca2640	2018-11-08T04:05:37Z	2018-11-08T04:05:37Z	0.1432097	8a9b0001000270ab030034fd04004204	8a9b0001000270ab030034fd04004204	DirectAction		Hello, I am Durandal. What can I help you with?		0	reflection	greet	1	Programmatic	WP_8.1	18.0-2864	Portable	{"DialogCore":144.0,"DialogTriggers":1.0,"E2EDialog":144.0,"UserProfileRetrieve":1.0,"AverageCacheRead":72.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":17.0}	9	None	{"DialogInputPayload":287,"DialogOutputPayload":3873}
6017939ded264f91b58fb2a1a3676a09	2018-11-08T03:56:04Z	2018-11-08T03:56:04Z	0			Unknown				0			0	Unknown			Unknown	{}	1	None	{}
6057dc5fddb0498e88e389bb52dc39a1	2018-11-08T19:21:34Z	2018-11-08T20:08:45Z	2831.045			Unknown			Non-success response while refreshing SR token	6			0	Unknown			Unknown	{}	6	None	{}
612b72f17bb24c8ab55c18c23b8360b0	2018-11-07T23:49:13Z	2018-11-07T23:49:13Z	0.6683915	44ea00010002d27b030064b404005ef2	44ea00010002d27b030064b404005ef2	Query	Hello	Hi! What can I do for you?		0	side_speech	side_speech_highconf	0.9699369	Typed	WP_8.1	18.0-2864	Portable	{"DialogCore":451.0,"DialogTriggers":0.0,"E2EDialog":662.0,"E2EClient":769.0,"ClientGenerateRequestToken":0.0,"LUCall":153.0,"SessionFetch":1.0,"UserProfileRetrieve":0.0,"AverageCacheRead":45.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":362.0}	50	None	{"ClientRequest":389,"ClientResponse":1843,"DialogInputPayload":358,"LURequest":345,"LUResponse":194,"DialogOutputPayload":1843}
617cdf4ffabb47689b40be486b9cbd2a	2018-11-08T00:57:25Z	2018-11-08T00:59:10Z	104.6881			Unknown				0			0	Unknown			Unknown	{}	22	None	{}
64031f4e2d25499ba511caf416c8cf1c	2018-11-08T00:55:50Z	2018-11-08T00:55:50Z	0.0498451	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	DirectAction		Hello, I am Durandal. What can I help you with?		0	reflection	greet	1	Programmatic	WP_8.1	18.0-2864	Portable	{"DialogCore":33.0,"DialogTriggers":1.0,"E2EDialog":49.0,"UserProfileRetrieve":1.0,"AverageCacheRead":71.5,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":19.0}	10	None	{"DialogInputPayload":444,"DialogOutputPayload":3904}
690dfa7734e34821899dbb03e79e5c52	2018-11-08T00:56:14Z	2018-11-08T00:56:14Z	0.2522801			Unknown				0			0	Unknown			Unknown	{"E2EClient":109.0,"ClientGenerateRequestToken":85.0,"AverageCacheRead":0.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	2	None	{}
6974cf2314e5459783c8f78ebbdb2899	2018-11-08T00:54:58Z	2018-11-08T00:54:58Z	0.0898088	44ea00010002d27b030064b404005ef2	msa:383712dc9a59c397	DirectAction		Hello, I am Durandal. What can I help you with?		0	reflection	greet	1	Programmatic	WP_8.1	18.0-2864	Portable	{"DialogCore":83.0,"DialogTriggers":1.0,"E2EDialog":90.0,"UserProfileRetrieve":1.0,"AverageCacheRead":56.5,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":22.0}	10	None	{"DialogInputPayload":444,"DialogOutputPayload":3833}
6b046f71bb694b4db508b484f6503014	2018-11-08T03:56:18Z	2018-11-08T03:56:19Z	1.574074			Unknown			NullReference exception in SerializeBond method: This usually means that required fields in your schema are null	2			0	Unknown			Unknown	{"ClientGenerateRequestToken":0.0,"ClientStartAudioReadThread":4.0,"ClientStartSpeechReco":0.0,"AverageCacheRead":0.0,"HtmlCacheRead":0.0,"StreamingAudioCacheRead":0.0,"SumPlugins":0.0}	5	None	{}
